TeacherNumber,TeacherAssessmentNumber,SchoolName,ClassNumber,Grade,ObservationRound,Status,Date,TeacherAssessmentQuestionKey,Q1Rating,Q2Rating,Q3Rating,Q4Rating,Q5Rating,Q6Rating,Q7Rating,Q8Rating,Q9Rating,Q10Rating,Q11Rating,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11
Teacher-00642,Teacher Observation-00639,1,Class-022067,2,Round 1,Treatment,2/10/18,Ghana Teacher Observation Question Key est 2018,3,2,2,2,3,3,3,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-00643,Teacher Assessment-00916,1,Class-022069,4,Round 2,Treatment,11/2/19,Ghana Teacher Observation Question Key est 2018,3,3,2,3,3,4,2,2,2,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-00643,Teacher Observation-00642,1,Class-022069,4,Round 1,Treatment,1/10/18,Ghana Teacher Observation Question Key est 2018,2,3,2,3,2,3,2,3,3,3,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-01875,Teacher Observation-00640,1,Class-022071,6,Round 1,Treatment,2/10/18,Ghana Teacher Observation Question Key est 2018,3,3,4,4,3,4,3,3,,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-01992,Teacher Observation-00641,1,Class-022066,1,Round 1,Treatment,1/10/18,Ghana Teacher Observation Question Key est 2018,2,2,3,3,3,2,3,3,3,1,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02003,Teacher Assessment-00915,1,Class-022068,3,Round 2,Treatment,11/2/19,Ghana Teacher Observation Question Key est 2018,3,2,4,3,3,3,3,2,2,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02003,Teacher Observation-00643,1,Class-022068,3,Round 1,Treatment,1/10/18,Ghana Teacher Observation Question Key est 2018,3,2,2,3,3,3,3,3,4,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02628,Teacher Assessment-00755,2,Class-022191,1,Round 1,Control,7/11/18,Ghana Teacher Observation Question Key est 2018,2,3,,2,3,4,2,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02629,Teacher Assessment-01034,2,Class-022193,2,Round 2,Control,18/2/19,Ghana Teacher Observation Question Key est 2018,2,3,2,3,2,2,2,3,3,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02629,Teacher Assessment-00756,2,Class-022193,2,Round 1,Control,7/11/18,Ghana Teacher Observation Question Key est 2018,3,3,2,3,3,3,3,3,2,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
